siren,nic,siret,statutDiffusionEtablissement,dateCreationEtablissement,trancheEffectifsEtablissement,anneeEffectifsEtablissement,activitePrincipaleRegistreMetiersEtablissement,dateDernierTraitementEtablissement,etablissementSiege,etatAdministratifUniteLegale,statutDiffusionUniteLegale,unitePurgeeUniteLegale,dateCreationUniteLegale,categorieJuridiqueUniteLegale,denominationUniteLegale,sigleUniteLegale,denominationUsuelle1UniteLegale,denominationUsuelle2UniteLegale,denominationUsuelle3UniteLegale,sexeUniteLegale,nomUniteLegale,nomUsageUniteLegale,prenom1UniteLegale,prenom2UniteLegale,prenom3UniteLegale,prenom4UniteLegale,prenomUsuelUniteLegale,pseudonymeUniteLegale,activitePrincipaleUniteLegale,nomenclatureActivitePrincipaleUniteLegale,identifiantAssociationUniteLegale,economieSocialeSolidaireUniteLegale,caractereEmployeurUniteLegale,trancheEffectifsUniteLegale,anneeEffectifsUniteLegale,nicSiegeUniteLegale,dateDernierTraitementUniteLegale,categorieEntreprise,anneeCategorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,indiceRepetitionEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,libelleCommuneEtrangerEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,codePaysEtrangerEtablissement,libellePaysEtrangerEtablissement,complementAdresse2Etablissement,numeroVoie2Etablissement,indiceRepetition2Etablissement,typeVoie2Etablissement,libelleVoie2Etablissement,codePostal2Etablissement,libelleCommune2Etablissement,libelleCommuneEtranger2Etablissement,distributionSpeciale2Etablissement,codeCommune2Etablissement,codeCedex2Etablissement,libelleCedex2Etablissement,codePaysEtranger2Etablissement,libellePaysEtranger2Etablissement,etatAdministratifEtablissement,enseigne1Etablissement,enseigne2Etablissement,enseigne3Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,nomenclatureActivitePrincipaleEtablissement,caractereEmployeurEtablissement
903986651,00011,90398665100011,O,2021-07-25,,,,2021-10-14T12:03:09,true,A,O,,2021-07-25,5710,MOON SHOP,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00011,2021-10-14T12:03:09,,,,36,,BD,MAL FOCH,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
904040243,00019,90404024300019,O,2021-10-01,,,,2021-12-27T11:53:25,true,A,O,,2021-10-01,5499,PENOT REY S&A,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00019,2021-12-27T11:53:25,,,,,,RTE,DU SIGNAL,38750,HUEZ,,,38191,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
904044260,00019,90404426000019,O,2021-10-01,,,,2021-11-26T03:34:25,true,A,O,,2021-10-01,5499,BARBIER,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00019,2021-11-26T03:34:25,,,,635,,CHE,DE COMBELATIERE,38260,MOTTIER,,,38267,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
904231040,00018,90423104000018,O,2021-10-06,,,,2021-10-18T09:34:27,true,A,O,,2021-10-06,1000,,,,,,M,DOMETILLE,,VINCENT,,,,VINCENT,,47.11B,NAFRev2,,,N,,,00018,2021-10-18T09:34:27,,,,8,,AV,DES PAPETERIES,38190,VILLARD-BONNOT,,,38547,,,,,,,,,,,,,,,,,,,A,,,,MV SHOP,47.11B,NAFRev2,N
904231933,00014,90423193300014,O,2021-10-01,,,,2021-11-25T03:48:57,true,A,O,,2021-10-01,5499,SHAKTHI,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00014,2021-11-25T03:48:57,,,,14,,RUE,JEAN JACQUES ROUSSEAU,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,LUCKY SHOP,,,,47.11B,NAFRev2,O
904235355,00016,90423535500016,O,2021-10-12,,,,2022-02-10T04:06:16,true,A,O,,2021-10-12,5499,CHOCO GOURMANDISES,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00016,2022-02-10T04:06:16,,,,1,,PL,DU VINGT TROIS AOUT 1944,38300,BOURGOIN-JALLIEU,,,38053,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
904291242,00025,90429124200025,O,2021-10-22,,,,2021-12-10T04:09:29,true,A,O,,2021-10-05,5710,EPICERIE BULGARE,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00025,2021-12-10T04:09:29,,,,12,,RUE,THIERS,38000,GRENOBLE,,,38185,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,O
904347408,00018,90434740800018,O,2021-10-15,,,,2021-10-22T03:50:04,true,A,O,,2021-10-15,5499,DANY,,,,,,,,,,,,,,47.11B,NAFRev2,,N,N,,,00018,2021-10-22T03:50:04,,,,12,,RUE,DE LA FAUCONNIERE,38170,SEYSSINET-PARISET,,,38485,,,,,,,,,,,,,,,,,,,A,,,,,47.11B,NAFRev2,N
904357431,00017,90435743100017,O,2021-10-11,,,,2022-01-10T03:36:14,true,A,O,,2021-10-11,5710,FOREST,,,,,,,,,,,,,,47.11B,NAFRev2,,N,O,,,00017,2022-01-10T03:36:14,,,,11,,PL,DU 11 NOVEMBRE 1918,38090,ROCHE,,,38339,,,,,,,,,,,,,,,,,,,A,VIVAL,,,VIVAL,47.11B,NAFRev2,O
904450483,00014,90445048300014,O,2021-11-15,,,,2021-11-18T03:51:31,true,A,O,,2021-11-15,5499,MENDES,,,,,,,,,,,,,,47.11D,NAFRev2,,N,O,,,00014,2021-11-18T03:51:31,,,PLACE ROBERT SCHUMAN,1435,,AV,DE L'EUROPE,38330,MONTBONNOT-SAINT-MARTIN,,,38249,,,,,,,,,,,,,,,,,,,A,CARREFOUR EXPRESS,,,,47.11D,NAFRev2,O
